time	plasma_radioactivity	whole_blood_radioactivity
258.0	15454.919534180972	29463.525681817562
288.0	12484.203889473256	27883.50851300172
628.2	6945.512494768357	21678.65960138884
760.2	5979.376455395031	18474.5730431671
1078.1999999999998	5612.8717513731735	16490.06529065239
1768.8	4871.271753177425	12863.289125992642
1885.2	4081.263168769502	11986.519652418914
2736.0	3774.994380055391	9704.231917098623
3594.0	3490.7924153337103	8432.756718435221
3880.8	2710.365121047961	10493.222659071469
5388.0	2887.4677660035404	6456.971390902233
6090.0	2318.0750753375332	5081.319534322017
7200.0	2993.8980240089863	5452.394641689487
