time	plasma_radioactivity	whole_blood_radioactivity
4.3	927295.1720508583	1767811.5409090538
4.8	749052.2333683954	1673010.5107801033
10.47	416730.74968610145	1300719.5760833304
12.67	358762.5873237019	1108474.382590026
17.97	336772.30508239043	989403.9174391434
29.48	292276.3051906455	771797.3475595585
31.42	244875.79012617012	719191.1791451349
45.6	226499.66280332347	582253.9150259173
59.9	209447.54492002263	505965.4031061133
64.68	162621.90726287768	629593.3595442881
89.8	173248.06596021244	387418.28345413395
101.5	139084.504520252	304879.172059321
120.0	179633.88144053917	327143.6785013692
