time	plasma_radioactivity	whole_blood_radioactivity
0.28	51.06285281208508	51.06285281208508
0.63	3129831.1814081	3068453.6323279734
0.82	4141677.353876534	3853846.265145373
0.98	4913860.026671447	4491667.253335847
1.27	5555704.767663513	5393427.021426707
1.52	6113147.719242483	5846921.323536116
1.77	6752342.298173603	6644962.224995068
2.05	5652693.550294788	6658718.557542644
2.28	5669574.929434462	6682728.310934887
2.52	2975412.0082190735	4477420.7174012745
3.05	2312447.671303929	2538268.031580094
5.07	2063805.4460581518	2002184.6713324187
10.78	1360960.3440020196	1452666.6745098839
15.3	1254093.4524942474	1248157.3958548424
30.26	476768.7504211572	918390.9392517563
45.16	327528.62707859644	744853.8339698851
60.44	294110.96857950074	589558.0818075845
90.11	216098.63138640425	400898.28714164096
120.65	255087.88541295848	346608.68755560543
