time	plasma_radioactivity	whole_blood_radioactivity
2.95	1127444.9999484487	1916038.6093438005
4.97	648121.0800550673	1377297.84576959
9.88	635778.475178526	1015748.2274394279
10.55	551377.3606818974	910453.3892051796
15.0	651854.2745074587	819495.7410708483
30.02	253203.34348988597	672177.7546932873
30.53	409893.599443104	600294.1197624159
45.5	224886.3159158414	501805.4551207656
59.92	202438.1504963029	406443.4147534534
60.67	174628.00607940578	396861.63347284205
89.98	149773.83527394052	289920.26978312636
90.73	149910.69372637034	283457.50952949584
120.0	138549.75256417124	256052.4492356858
