time	whole_blood_radioactivity
0	682.3205024
1.061	1181.649623
2.123	1129.811634
3.195	946.4636281
4.256	947.0328916
5.318	1237.148406
6.389	1369.59096
7.451	948.7491895
8.522	1292.137088
9.584	1319.301015
10.655	1320.102008
11.717	1505.822295
12.778	1057.352977
13.85	1057.995532
14.911	1270.358253
15.983	1059.27521
17.044	1404.383831
18.116	1511.292921
19.178	1565.262512
20.239	1858.208089
21.311	1673.403592
22.372	1382.052767
23.444	1834.99216
24.505	1836.095842
25.577	1437.817805
26.638	1598.536222
27.71	1706.141499
28.771	1973.912631
29.833	2322.078188
30.904	2163.247449
31.966	2458.500997
33.027	2540.196425
34.099	2300.943675
35.161	2810.982977
36.232	2544.814419
37.294	2197.899063
38.365	2467.432688
39.427	2951.967364
40.498	3061.169044
41.56	3304.828696
42.621	3279.931744
43.693	3793.044425
44.754	3606.905374
45.826	3716.831543
46.887	4069.413981
47.959	3802.225581
49.02	4074.336062
50.082	4913.745607
51.154	4484.491548
52.215	4541.251322
53.277	4165.319854
54.348	5439.854554
55.41	5713.931977
56.481	5310.950786
57.543	5070.131136
58.614	5751.445935
59.676	5347.721562
60.747	5975.700692
61.809	6088.012762
62.88	5575.001543
63.942	5850.472883
65.003	5500.02944
66.075	6075.504529
67.136	6379.02754
68.198	6137.372992
69.27	7041.797742
70.331	6554.449421
71.403	5793.282103
72.464	5578.020644
73.536	5937.088529
74.597	5776.401607
75.669	6053.84141
76.74	6934.623425
77.802	6116.015877
78.863	6586.21823
79.935	7770.968556
80.996	7610.7879
82.068	7725.382849
83.129	8335.227417
84.201	8175.138434
85.263	9529.632328
86.334	9673.213154
87.396	9265.402678
88.467	10098.79838
89.529	10242.92295
90.59	11878.99189
91.662	12660.19658
92.723	13359.28565
93.795	14806.54492
94.856	15840.07046
95.928	16099.07983
96.989	16912.81469
98.051	18171.41451
99.122	19820.2552
100.184	21748.74355
101.256	22373.40746
102.317	21802.85909
103.379	22734.25997
104.45	23527.67809
105.512	25018.43141
106.583	24699.09596
107.645	26387.59755
108.706	26850.03903
109.778	28178.95326
110.839	28531.23471
111.911	31316.75021
112.972	30160.50162
114.044	31270.64316
115.105	31401.49949
116.177	33634.87838
117.239	32196.73875
118.31	34882.26839
119.372	36223.02211
120.443	37172.21239
121.505	36407.4041
122.576	36260.72291
123.638	38731.4142
124.699	38247.74406
125.771	37735.53163
126.832	40719.10493
127.904	40348.82651
128.965	40740.123
130.037	40369.37956
131.098	43022.49891
132.16	41747.33119
133.232	41008.56632
134.293	44686.29351
135.365	42191.58821
136.426	43691.29815
137.498	44909.38067
138.559	46639.60336
139.631	45474.97385
140.692	44649.6897
141.764	47748.17724
142.825	47321.60698
143.887	47976.49539
144.958	47806.19367
146.02	45867.98208
147.091	46780.08786
148.153	47293.45839
149.225	48036.17272
150.286	46721.98624
151.358	45320.70404
152.419	49296.23969
153.481	46234.10147
154.552	44915.84232
155.614	47035.24941
156.685	47121.16603
157.747	47006.04832
158.808	44966.87808
159.88	48413.30435
160.941	48499.92162
162.013	46975.99418
163.074	44816.66563
164.146	42453.37813
165.208	42017.8353
166.279	41697.31
167.341	42155.21818
168.412	42931.46306
169.474	42061.76334
