time	whole_blood_radioactivity
0	1117.504362
1.071	1217.576867
2.133	1093.99255
3.204	1044.899626
4.266	1418.93179
5.338	1245.433401
6.399	1171.411535
7.471	1521.266545
8.532	1397.412553
9.604	1173.541122
10.665	1549.006634
11.737	1299.95636
12.798	1475.837615
13.86	1376.60909
14.931	1177.089258
15.993	1578.750379
17.064	1303.886705
18.126	1655.929446
19.197	1606.724672
20.259	1482.091035
21.331	1684.075324
22.392	1609.636522
23.464	1535.117137
24.525	1737.488382
25.587	1637.749801
26.658	1613.532686
27.72	1589.277457
28.791	1893.145668
29.853	1995.313955
30.924	2299.795056
31.986	2124.165788
33.047	2074.837602
34.119	2152.053306
35.19	2280.02812
36.252	2458.843049
37.324	2434.972989
38.385	2461.817095
39.447	2971.195924
40.518	3023.820349
41.59	2695.123869
42.651	3205.564679
43.713	3716.620643
44.784	5349.069846
45.846	5454.238534
46.917	7931.299284
47.979	7859.5204
49.05	10264.43331
50.112	11190.36918
51.173	13983.59265
52.245	15526.87191
53.317	18198.21204
54.378	20206.78671
55.45	21423.49748
56.511	24282.60125
57.573	24656.41873
58.644	26494.14456
59.706	28462.38865
60.777	30998.62905
61.839	32920.50805
62.91	34561.78522
63.972	35870.10523
65.043	36458.73276
66.105	37976.00328
67.176	39830.65062
68.238	38512.37552
69.31	43262.35304
70.371	42719.81006
71.433	46184.82411
72.504	45695.36322
73.566	45515.74811
74.637	51424.12618
75.699	49251.71872
76.77	51538.20062
77.832	53437.86657
78.903	53885.81562
79.965	55269.46104
81.026	56316.71652
82.098	58770.44047
83.169	56905.79138
84.231	58086.14476
85.303	60701.72313
86.364	60712.15391
87.426	61609.83304
88.497	61882.23431
89.569	62729.76219
90.63	64414.45229
91.702	63381.1143
92.763	65146.70977
93.835	63981.57079
94.896	67793.64638
95.968	66366.44448
97.029	67167.24039
98.101	66709.2482
99.162	68010.28042
100.234	67000.2143
101.296	65935.92
102.367	63186.38239
103.429	64093.39627
104.5	63684.38465
105.562	62351.77646
106.623	59170.88894
107.695	56065.69032
108.766	56020.49281
109.828	58697.03919
110.899	55612.25484
111.961	51888.39115
113.022	51866.64797
114.094	51209.3709
115.155	50020.79854
116.227	49096.32446
117.289	50452.89119
118.36	48173.12493
119.422	47697.2532
120.493	45439.60782
121.555	46956.81172
122.626	46000.35941
123.688	43204.57293
124.749	42404.32752
125.821	42750.12256
126.882	41094.68885
127.954	41279.86862
129.015	39247.47726
130.087	39431.72825
131.148	37716.73048
132.21	39265.07394
133.282	36101.89835
134.343	36900.75236
135.415	32418.38852
136.476	35335.56426
137.538	31195.63023
138.609	32853.20078
139.671	32201.00519
140.742	33161.89062
141.804	31809.36961
142.875	31263.19797
143.937	30823.97086
145.008	29791.22997
146.07	31131.01959
147.131	30339.95841
148.203	29007.93358
149.275	29322.84403
150.336	28853.72614
151.408	28763.02719
152.469	27859.78983
153.531	29258.19948
154.602	26890.51429
155.664	26716.83736
156.735	26950.17935
157.797	25282.70121
158.858	26085.92
159.93	27515.61846
160.991	26035.85462
162.063	27467.23274
163.124	25468.09646
164.186	25183.62399
165.257	25553.444
166.329	24532.02413
167.391	24492.18405
168.452	24944.05083
169.524	25505.96093
170.585	25357.17772
