time	plasma_radioactivity	whole_blood_radioactivity
3.15	1952461.8526603153	1773101.1332152283
5.02	1154897.5392379423	1162113.8537550657
10.1	938611.5487437935	959656.1409135474
14.65	430148.5917847859	571399.2721257607
15.57	787161.6908784101	791673.3833708736
29.48	567382.7289088295	571399.2721257607
30.77	394379.66632480704	393446.2127056766
45.17	459157.4581023766	453806.0562644987
59.4	431358.7904672803	402246.70572065114
60.42	373482.4222023038	367587.00439302035
89.4	396988.84870058787	342739.6358687931
91.78	279666.89286539797	236871.0362667922
119.85	365529.6666327799	341127.03490497486
