time	plasma_radioactivity	whole_blood_radioactivity
3.05	3148219.7152187116	4639887.053244964
5.05	875020.8268617471	2455136.4309307993
9.95	549597.3611480026	1782116.474401007
11.05	378409.7336847276	1422042.0249211243
15.12	511339.21898307954	1535120.2123451936
29.83	410699.23461962584	992347.5630832096
30.83	260012.24654988592	826301.6603029931
45.18	390262.20419124194	761563.6360203184
59.82	322205.912226511	638231.1533391598
61.75	242477.3751565274	592231.2700406213
90.02	277020.5770650481	451087.393659266
91.48	234392.85237737463	438311.70970020926
119.9	261295.61631900212	425775.4428183191
