time	plasma_radioactivity	whole_blood_radioactivity
3.2	874032.5616124766	700024.4182480661
5.15	506737.47902081034	419466.2763109632
10.07	459268.799429627	387072.85905331443
19.0	187314.2926658252	181593.6565078306
15.22	384078.9754604961	333586.171028082
30.17	272589.57298046025	239125.11150820897
30.93	178846.7431103794	161223.65559810793
45.27	213693.06162813748	193693.51601146557
60.0	182207.30184019697	162885.6642087676
61.5	196057.79361303325	164497.27073874007
89.95	162298.0599514229	147595.2129918546
91.27	193770.23917873384	169877.97286365557
120.17	148675.80560063175	129608.4464662692
