time	whole_blood_radioactivity
0.00	1165.12
1.07	922.94
2.13	1239.43
3.21	1021.33
4.27	1021.94
5.34	1046.91
6.40	1193.71
7.47	950.67
8.53	1170.76
9.60	1293.50
10.67	1440.80
11.74	1197.33
12.80	1467.00
13.86	1394.48
14.93	1811.48
15.99	1616.62
17.07	1789.17
18.13	1471.43
19.20	1447.79
20.26	1890.62
21.33	1621.52
22.39	1942.07
23.45	1844.85
24.53	1402.94
25.60	1847.09
26.66	1996.06
27.72	1701.37
28.79	1603.71
29.85	2073.74
30.92	1803.27
31.99	2002.10
33.06	1706.53
34.12	2623.20
35.19	1857.16
36.25	2229.94
37.32	2702.34
38.39	2778.39
39.46	2655.97
40.52	2732.07
41.59	2460.36
42.65	2884.58
43.71	2911.20
44.78	3983.55
45.85	4035.77
46.92	4486.91
47.98	6609.70
49.05	7237.66
50.11	7117.15
51.18	9470.31
52.25	10726.14
53.31	12709.00
54.38	13317.50
55.44	15855.36
56.51	16065.50
57.57	18758.54
58.64	18920.49
59.71	20137.10
60.77	22711.82
61.84	23404.38
62.91	25707.62
63.97	25194.54
65.04	25109.11
66.11	29282.19
67.18	29325.20
68.24	31008.03
69.31	32996.04
70.37	32940.10
71.44	32075.45
72.50	32372.95
73.57	34670.03
74.64	36134.43
75.70	34585.28
76.77	37395.06
77.83	35641.83
78.90	36018.83
79.97	38529.57
81.04	38197.19
82.10	40356.22
83.16	38802.96
84.23	39539.39
85.29	39257.49
86.36	40173.51
87.43	41957.62
88.50	40171.05
89.56	42519.11
90.63	43643.68
91.69	42979.62
92.76	42698.71
93.83	41649.27
94.90	46310.75
95.96	44826.48
97.03	43058.55
98.09	42340.28
99.16	46320.17
100.22	44678.06
101.29	47121.45
102.36	47793.13
103.42	47770.42
104.48	46434.20
105.55	48704.37
106.62	50487.33
107.69	51627.15
108.75	52406.87
109.82	49338.89
110.88	52056.70
111.95	51260.72
113.02	52094.11
114.08	52047.76
115.15	54773.74
116.22	54132.92
117.28	54969.69
118.35	53783.08
119.41	55347.85
120.47	54315.62
121.55	56975.05
122.61	57451.65
123.68	56601.35
124.74	58250.57
125.81	58937.65
126.87	57955.87
127.94	60992.43
129.01	63066.07
130.08	62503.36
131.14	61312.13
132.21	63834.73
133.27	62668.99
134.33	64147.31
135.41	64500.81
136.47	60186.26
137.54	63293.02
138.61	62570.00
139.67	61872.03
140.73	65379.32
141.80	63341.00
142.87	62721.09
143.94	60994.68
145.00	69859.35
146.07	62597.81
147.13	62582.73
148.20	64415.92
149.27	64349.04
150.34	63515.85
151.40	63236.72
152.46	60760.70
153.53	62068.65
154.59	58423.08
155.66	60075.80
156.73	57671.38
157.80	58131.13
158.86	57448.98
159.92	54453.92
160.99	53582.88
162.06	54333.83
163.13	52529.48
