time	whole_blood_radioactivity
0	978.42
1.062	1006.98
2.124	895.63
3.195	1260.25
4.257	1176.94
5.328	785.10
6.39	1234.47
7.451	1375.58
8.523	926.98
9.584	1068.07
10.656	1096.84
11.717	1210.07
12.789	1041.85
13.85	1070.65
14.922	1127.69
15.983	1212.99
17.045	1298.40
18.117	1270.95
19.178	1413.01
20.25	1187.65
21.311	1075.19
22.383	1160.78
23.444	878.19
24.506	1332.25
25.577	1333.06
26.639	1078.44
27.71	1675.44
28.782	1420.73
29.843	1819.62
30.905	1365.54
31.976	1138.64
33.038	1538.09
34.109	1339.52
35.171	1568.47
36.243	1540.89
37.304	1770.23
38.366	1971.28
39.437	2029.65
40.499	2059.48
41.57	2146.59
42.632	2061.97
43.703	2693.65
44.765	2838.63
45.836	3069.88
46.898	3760.71
47.969	4825.83
49.031	5576.04
50.092	7161.18
51.164	8402.95
52.236	10596.46
53.297	11553.63
54.359	12108.34
55.43	13413.80
56.502	15067.23
57.563	16491.50
58.635	17830.89
59.696	20068.20
60.758	20716.83
61.829	20005.62
62.891	24044.37
63.962	23276.33
65.024	27002.87
66.085	28557.26
67.157	30926.79
68.219	33647.69
69.29	34831.09
70.352	37441.24
71.423	41306.43
72.485	42642.01
73.556	44591.45
74.618	47913.64
75.689	46717.17
76.751	49402.27
77.822	49928.92
78.894	53934.96
79.955	57331.22
81.017	57746.22
82.088	58191.29
83.16	57259.62
84.222	61575.03
85.293	61993.82
86.355	59682.59
87.426	65887.52
88.488	67573.16
89.549	64349.28
90.621	69332.29
91.692	66930.38
92.754	67501.02
93.825	72730.73
94.887	71594.55
95.958	71018.16
97.02	67900.68
98.092	70779.02
99.153	69727.48
100.225	70124.91
101.286	71232.92
102.358	72461.18
103.419	69659.11
104.481	68722.27
105.552	70574.35
106.614	68033.30
107.685	66024.34
108.747	63417.96
109.808	62623.11
110.88	61470.46
111.941	62281.86
113.003	63362.48
114.074	62058.97
115.136	58843.81
116.208	58431.70
117.269	56763.93
118.341	57426.20
119.402	55725.85
120.474	54502.65
121.535	56811.48
122.597	53789.15
123.668	51183.18
124.73	51484.02
125.801	51155.03
126.863	51336.02
127.934	48902.53
128.996	50916.91
130.057	51098.00
131.119	49020.98
132.191	50225.82
133.252	48447.18
134.314	47541.21
135.385	46906.02
136.447	45212.73
137.518	44998.42
138.58	45267.42
139.651	43812.30
140.713	44353.36
141.784	43350.30
142.846	43861.39
143.917	40915.65
144.979	41577.60
146.04	41056.00
147.112	41050.57
148.174	39403.08
149.245	38514.34
150.307	38263.57
151.378	37007.53
152.44	38584.14
153.501	35496.81
154.573	36464.31
155.634	35784.00
156.706	35225.28
157.777	36041.47
158.839	34992.59
159.91	35197.48
160.972	36535.54
162.033	34810.84
