time	whole_blood_radioactivity
0.00	2231.54
1.06	1830.23
2.13	1941.23
3.19	1905.74
4.27	2016.92
5.33	1761.28
6.40	2459.94
7.46	2057.31
8.53	2132.08
9.59	1875.89
10.66	1692.99
11.73	2062.29
12.79	2210.92
13.86	2027.91
14.92	1992.24
15.99	2362.61
17.05	2918.10
18.13	2328.50
19.19	2551.80
20.26	3256.45
21.32	2443.81
22.39	3186.29
23.45	2780.41
24.53	2448.25
25.59	2746.66
26.66	3156.86
27.72	2935.79
28.79	2863.20
29.85	3162.58
30.91	2754.96
31.99	3240.91
33.05	2683.74
34.12	3916.17
35.18	3097.50
36.25	3958.25
37.31	4334.28
38.38	3925.63
39.45	4863.26
40.51	4641.59
41.58	5318.60
42.64	5321.80
43.70	5475.00
44.77	7241.90
45.85	8860.76
46.91	9692.59
47.97	11089.28
49.04	13766.58
50.10	15242.68
51.17	16833.61
52.25	18351.12
53.31	19531.02
54.38	23730.63
55.44	22989.91
56.50	26516.63
57.57	27591.03
58.63	28855.64
59.70	32732.84
60.77	34645.93
61.84	32242.19
62.90	35294.40
63.97	36909.04
65.03	35982.34
66.10	38206.78
67.17	39674.05
68.23	41523.13
69.30	38846.96
70.36	41306.86
71.43	41941.46
72.49	39260.39
73.57	39970.77
74.63	40109.30
75.70	40248.23
76.76	39202.59
77.83	41099.80
78.89	40818.47
79.97	41494.01
81.03	40982.75
82.10	41352.58
83.16	40993.97
84.22	38869.87
85.29	40275.69
86.35	37572.27
87.43	40555.05
88.49	36848.44
89.56	37101.76
90.62	39665.76
91.69	39420.13
92.75	37323.20
93.82	42013.88
94.89	39298.53
95.95	39747.09
97.01	39655.04
98.08	41535.47
99.14	43069.63
100.21	42476.28
101.28	45175.17
102.35	48381.51
103.41	46005.62
104.48	47469.68
105.54	46799.18
106.61	53511.70
107.68	51405.27
108.75	51475.39
109.81	51311.72
110.87	52939.73
111.94	54881.85
113.00	56084.92
114.06	55025.97
115.14	56387.06
116.20	55561.40
117.27	57119.90
118.33	56254.53
119.40	58089.32
120.46	56048.40
121.54	58081.20
122.60	60978.81
123.67	59995.66
124.73	60974.04
125.79	59635.75
126.86	59318.17
127.92	60022.54
129.00	57973.06
130.06	59622.57
131.12	61116.40
132.19	60877.54
133.25	58113.05
134.31	61148.21
135.39	65964.86
136.45	63158.83
137.52	62959.93
138.58	64422.37
139.64	65530.22
140.71	64341.81
141.77	66323.06
142.85	67751.68
143.91	65172.86
144.98	68111.64
146.04	67874.47
147.10	66324.77
148.17	70781.46
149.23	67280.84
150.31	71384.93
151.37	68837.05
152.44	71032.55
153.50	72192.73
154.56	70439.23
155.63	70322.21
156.70	73602.88
157.77	70287.26
158.83	75132.92
159.90	72575.16
160.96	72137.89
162.03	73705.57
183.00	77331.45
303.00	40918.94
597.00	29701.94
907.20	25585.34
1789.80	16539.13
2710.80	12692.73
3589.20	10637.19
5401.20	7518.12
7194.00	7096.26
