time	whole_blood_radioactivity
0	1000.538169
1.062	1098.025091
2.123	1130.999793
3.195	1390.358441
4.256	1391.194691
5.328	1262.548018
6.389	1554.83987
7.461	1490.960384
8.522	1751.310559
9.594	1914.631761
10.655	2143.079672
11.717	2339.312587
12.788	2178.181971
13.85	2374.671808
14.922	2538.862495
15.983	2475.251336
17.055	2672.288882
18.116	3978.235761
19.178	4372.168236
20.249	4178.935144
21.311	4018.113062
22.372	4314.71492
23.444	5200.428632
24.505	5596.277747
25.577	6745.811662
26.638	7994.990494
27.7	11048.90924
28.771	14237.79809
29.843	18382.51667
30.905	20298.63324
31.976	23893.31053
33.038	27821.05915
34.099	30272.77673
35.171	30850.90174
36.232	36568.94104
37.304	39096.505
38.365	37932.56589
39.437	41091.08163
40.498	47192.34786
41.56	48443.40997
42.631	48274.43355
43.693	50321.65602
44.764	54953.7576
45.836	54258.40767
46.898	56677.49369
47.959	59066.27461
49.031	60927.33452
50.102	62591.36914
51.164	61698.75217
52.235	64462.31249
53.297	63170.51489
54.368	67136.53845
55.43	68942.14199
56.501	70050.41844
57.563	71026.26961
58.634	73538.46956
59.696	74751.25195
60.757	72825.25343
61.829	76412.70576
62.891	78933.74988
63.952	74965.23114
65.024	77522.30952
66.085	81288.22447
67.147	81605.38066
68.218	81252.35456
69.28	81804.78834
70.351	84004.09994
71.413	84760.44993
72.484	82794.18107
73.546	85031.21567
74.617	87709.06249
75.679	85942.61815
76.74	86297.69987
77.812	89284.69875
78.873	89540.90513
79.945	91925.54053
81.007	91034.71622
82.078	88385.0129
83.14	88844.21372
84.201	86494.09615
85.273	83599.66879
86.344	84057.15317
87.406	81733.74886
88.477	77711.17112
89.539	75109.43139
90.61	78824.4468
91.672	73908.41119
92.733	74497.13573
93.805	69198.49997
94.866	67503.15718
95.938	64715.63865
97.01	64550.36939
98.071	61177.19229
99.133	60189.80607
100.204	58142.51084
101.266	58143.33257
102.337	52808.82419
103.399	50718.77849
104.46	47050.95561
105.532	45126.46683
106.593	44262.19356
107.665	43774.50122
108.726	43114.29661
109.798	42110.07134
110.859	39420.31213
111.921	38137.26697
112.993	38263.67237
114.054	37666.93805
115.126	35450.4875
116.187	37678.02525
117.249	37217.80838
118.32	34582.84096
119.382	35639.69865
120.453	34348.2255
121.515	31879.4061
122.576	34285.78436
123.648	33406.54711
124.709	32560.6648
125.771	32337.64832
126.832	30657.74367
127.904	30121.14592
128.966	30660.11987
130.037	29532.1908
131.099	28576.55931
132.16	28732.8894
133.232	28680.73697
134.293	28593.50443
135.365	29063.9154
136.426	25699.02766
137.488	25888.95312
138.559	27056.76574
139.621	26374.39527
140.692	25726.27859
141.754	26581.17204
142.815	25687.25682
143.887	25212.62158
144.959	28136.16457
146.02	24436.73967
147.092	25995.1623
148.153	26116.10432
149.225	27361.30189
150.286	24847.33687
151.348	25213.95479
152.419	27270.12394
153.481	26441.53882
154.552	26070.0644
155.614	22384.40163
156.685	24796.51709
157.747	23117.34952
158.808	21471.45388
159.88	25159.48273
160.942	26765.72267
162.013	21828.9001
